date,stock,open,high,low,close,volume
17-03-2025,ADANIENT,"2,200.00","2,286.90","2,198.00","2,252.70",927737
18-03-2025,ADANIENT,"2,274.00","2,314.20","2,259.75","2,308.50",878007
19-03-2025,ADANIENT,"2,319.95","2,342.00","2,311.05","2,318.65",1030345
20-03-2025,ADANIENT,"2,348.00","2,348.00","2,299.00","2,339.30",2587051
21-03-2025,ADANIENT,"2,343.80","2,389.55","2,338.00","2,362.80",1101418
24-03-2025,ADANIENT,"2,370.00","2,395.00","2,361.10","2,368.70",1010184
25-03-2025,ADANIENT,"2,385.00","2,387.65","2,315.10","2,320.35",763065
26-03-2025,ADANIENT,"2,324.90","2,359.85","2,308.05","2,312.60",1078870
27-03-2025,ADANIENT,"2,310.00","2,373.90","2,291.60","2,363.35",1696042
28-03-2025,ADANIENT,"2,376.00","2,386.95","2,293.70","2,315.80",1838836
01-04-2025,ADANIENT,"2,312.00","2,358.95","2,301.00","2,335.25",501942
02-04-2025,ADANIENT,"2,339.75","2,378.85","2,314.55","2,369.40",573928
03-04-2025,ADANIENT,"2,339.75","2,429.90","2,339.70","2,410.80",1023200
04-04-2025,ADANIENT,"2,394.95","2,410.05","2,315.50","2,334.65",1219733
07-04-2025,ADANIENT,"2,150.05","2,239.00","2,145.00","2,212.70",1567177
08-04-2025,ADANIENT,"2,270.00","2,301.00","2,225.00","2,285.70",1224362
09-04-2025,ADANIENT,"2,265.70","2,279.55","2,215.20","2,236.90",1001633
11-04-2025,ADANIENT,"2,303.05","2,343.50","2,281.00","2,321.40",981463
15-04-2025,ADANIENT,"2,375.00","2,440.00","2,359.00","2,418.20",1145125
16-04-2025,ADANIENT,"2,400.00","2,428.00","2,382.90","2,415.60",889949
17-04-2025,ADANIENT,"2,418.00","2,448.60","2,392.00","2,418.10",1054797
21-04-2025,ADANIENT,"2,426.10","2,464.90","2,395.50","2,442.70",782559
22-04-2025,ADANIENT,"2,458.90","2,483.40","2,441.00","2,445.50",766567
23-04-2025,ADANIENT,"2,460.00","2,473.80","2,421.20","2,453.60",672262
24-04-2025,ADANIENT,"2,450.00","2,461.40","2,425.10","2,442.50",596696
25-04-2025,ADANIENT,"2,450.10","2,459.50","2,323.50","2,354.30",1414809
28-04-2025,ADANIENT,"2,346.00","2,402.00","2,337.60","2,369.80",681421
29-04-2025,ADANIENT,"2,392.00","2,400.00","2,325.60","2,330.60",670730
30-04-2025,ADANIENT,"2,331.40","2,340.00","2,285.00","2,301.30",837464
02-05-2025,ADANIENT,"2,349.90","2,372.40","2,289.40","2,294.20",1958739
05-05-2025,ADANIENT,"2,312.60","2,497.00","2,297.80","2,455.50",4227194
06-05-2025,ADANIENT,"2,454.00","2,463.20","2,343.50","2,354.00",1524692
07-05-2025,ADANIENT,"2,315.00","2,379.50","2,315.00","2,353.10",1012640
08-05-2025,ADANIENT,"2,362.00","2,367.80","2,260.00","2,285.30",1380069
09-05-2025,ADANIENT,"2,240.00","2,273.10","2,233.00","2,251.00",1006000
12-05-2025,ADANIENT,"2,350.00","2,433.30","2,315.00","2,425.30",2147039
13-05-2025,ADANIENT,"2,425.00","2,454.90","2,405.00","2,441.20",1815179
14-05-2025,ADANIENT,"2,444.90","2,481.90","2,430.10","2,461.90",774441
15-05-2025,ADANIENT,"2,463.40","2,526.80","2,450.70","2,520.00",1554801
16-05-2025,ADANIENT,"2,529.00","2,584.20","2,516.20","2,555.00",1641135
19-05-2025,ADANIENT,"2,571.30","2,578.80","2,536.00","2,540.60",681000
20-05-2025,ADANIENT,"2,545.00","2,564.80","2,492.50","2,501.60",628023
21-05-2025,ADANIENT,"2,509.70","2,524.50","2,483.70","2,500.40",529234
22-05-2025,ADANIENT,"2,500.40","2,521.90","2,465.30","2,487.60",906909
23-05-2025,ADANIENT,"2,499.00","2,548.10","2,490.50","2,540.00",968415
26-05-2025,ADANIENT,"2,549.10","2,568.90","2,541.30","2,547.70",552912
27-05-2025,ADANIENT,"2,545.90","2,569.10","2,526.10","2,540.30",514936
28-05-2025,ADANIENT,"2,559.00","2,559.00","2,510.00","2,515.00",575989
29-05-2025,ADANIENT,"2,536.70","2,559.00","2,511.00","2,540.80",802317
30-05-2025,ADANIENT,"2,550.00","2,564.00","2,513.80","2,519.90",684592
02-06-2025,ADANIENT,"2,527.00","2,564.00","2,514.90","2,518.80",1008716
03-06-2025,ADANIENT,"2,511.00","2,512.50","2,452.00","2,470.90",962708
04-06-2025,ADANIENT,"2,480.00","2,503.00","2,441.10","2,489.40",552667
05-06-2025,ADANIENT,"2,495.00","2,530.10","2,487.50","2,504.40",673209
06-06-2025,ADANIENT,"2,514.90","2,553.30","2,504.00","2,534.20",640680
09-06-2025,ADANIENT,"2,545.00","2,604.10","2,524.50","2,582.10",1711167
10-06-2025,ADANIENT,"2,600.00","2,663.20","2,577.70","2,613.10",2084054
11-06-2025,ADANIENT,"2,630.00","2,630.90","2,563.10","2,581.20",745432
12-06-2025,ADANIENT,"2,591.50","2,601.80","2,530.00","2,543.70",955097
13-06-2025,ADANIENT,"2,498.00","2,516.00","2,460.00","2,507.90",695869
16-06-2025,ADANIENT,"2,500.00","2,563.30","2,462.00","2,544.00",956459
17-06-2025,ADANIENT,"2,535.00","2,539.60","2,479.00","2,488.50",703343
18-06-2025,ADANIENT,"2,491.90","2,495.90","2,445.40","2,459.10",667044
19-06-2025,ADANIENT,"2,466.30","2,468.90","2,405.10","2,420.60",688209
20-06-2025,ADANIENT,"2,428.00","2,461.30","2,415.00","2,448.40",3002549
23-06-2025,ADANIENT,"2,438.00","2,492.60","2,421.00","2,472.00",790535
24-06-2025,ADANIENT,"2,504.00","2,544.60","2,500.20","2,505.60",996405
25-06-2025,ADANIENT,"2,519.90","2,541.60","2,512.10","2,527.20",921346
26-06-2025,ADANIENT,"2,535.00","2,593.60","2,522.20","2,586.20",1339627
27-06-2025,ADANIENT,"2,587.70","2,681.60","2,582.00","2,646.30",4049316
30-06-2025,ADANIENT,"2,650.00","2,653.90","2,605.90","2,619.40",694815
01-07-2025,ADANIENT,"2,624.90","2,645.00","2,603.00","2,621.80",729197
02-07-2025,ADANIENT,"2,634.00","2,646.00","2,613.60","2,630.20",621409
03-07-2025,ADANIENT,"2,634.00","2,644.00","2,605.10","2,611.20",502724
04-07-2025,ADANIENT,"2,617.00","2,617.00","2,582.20","2,599.10",370305
07-07-2025,ADANIENT,"2,602.00","2,605.40","2,572.00","2,576.10",412159
08-07-2025,ADANIENT,"2,586.00","2,600.00","2,573.00","2,591.30",357701
09-07-2025,ADANIENT,"2,599.00","2,609.90","2,570.00","2,583.00",396880
10-07-2025,ADANIENT,"2,591.00","2,604.00","2,575.00","2,581.00",306565
11-07-2025,ADANIENT,"2,575.00","2,591.90","2,551.90","2,558.70",390645
14-07-2025,ADANIENT,"2,555.00","2,604.80","2,543.50","2,581.30",536585
15-07-2025,ADANIENT,"2,588.00","2,606.90","2,576.00","2,598.20",379425
16-07-2025,ADANIENT,"2,602.50","2,619.50","2,595.50","2,608.50",686644
17-07-2025,ADANIENT,"2,612.00","2,654.50","2,605.30","2,616.60",785771
18-07-2025,ADANIENT,"2,612.00","2,626.70","2,584.20","2,596.10",479942
21-07-2025,ADANIENT,"2,596.30","2,624.90","2,585.00","2,619.50",369782
22-07-2025,ADANIENT,"2,626.00","2,630.00","2,581.60","2,587.80",387055
23-07-2025,ADANIENT,"2,600.70","2,625.90","2,593.50","2,614.50",316424
24-07-2025,ADANIENT,"2,615.40","2,624.20","2,595.00","2,608.40",253782
