date,stock,open,high,low,close,volume,adj_close
2025-03-17,ADANIENT,2200.0,2286.9,2198.0,2252.7,927737,2252.7
2025-03-18,ADANIENT,2274.0,2314.2,2259.75,2308.5,878007,2308.5
2025-03-19,ADANIENT,2319.95,2342.0,2311.05,2318.65,1030345,2318.65
2025-03-20,ADANIENT,2348.0,2348.0,2299.0,2339.3,2587051,2339.3
2025-03-21,ADANIENT,2343.8,2389.55,2338.0,2362.8,1101418,2362.8
2025-03-24,ADANIENT,2370.0,2395.0,2361.1,2368.7,1010184,2368.7
2025-03-25,ADANIENT,2385.0,2387.65,2315.1,2320.35,763065,2320.35
2025-03-26,ADANIENT,2324.9,2359.85,2308.05,2312.6,1078870,2312.6
2025-03-27,ADANIENT,2310.0,2373.9,2291.6,2363.35,1696042,2363.35
2025-03-28,ADANIENT,2376.0,2386.95,2293.7,2315.8,1838836,2315.8
2025-04-01,ADANIENT,2312.0,2358.95,2301.0,2335.25,501942,2335.25
2025-04-02,ADANIENT,2339.75,2378.85,2314.55,2369.4,573928,2369.4
2025-04-03,ADANIENT,2339.75,2429.9,2339.7,2410.8,1023200,2410.8
2025-04-04,ADANIENT,2394.95,2410.05,2315.5,2334.65,1219733,2334.65
2025-04-07,ADANIENT,2150.05,2239.0,2145.0,2212.7,1567177,2212.7
2025-04-08,ADANIENT,2270.0,2301.0,2225.0,2285.7,1224362,2285.7
2025-04-09,ADANIENT,2265.7,2279.55,2215.2,2236.9,1001633,2236.9
2025-04-11,ADANIENT,2303.05,2343.5,2281.0,2321.4,981463,2321.4
2025-04-15,ADANIENT,2375.0,2440.0,2359.0,2418.2,1145125,2418.2
2025-04-16,ADANIENT,2400.0,2428.0,2382.9,2415.6,889949,2415.6
2025-04-17,ADANIENT,2418.0,2448.6,2392.0,2418.1,1054797,2418.1
2025-04-21,ADANIENT,2426.1,2464.9,2395.5,2442.7,782559,2442.7
2025-04-22,ADANIENT,2458.9,2483.4,2441.0,2445.5,766567,2445.5
2025-04-23,ADANIENT,2460.0,2473.8,2421.2,2453.6,672262,2453.6
2025-04-24,ADANIENT,2450.0,2461.4,2425.1,2442.5,596696,2442.5
2025-04-25,ADANIENT,2450.1,2459.5,2323.5,2354.3,1414809,2354.3
2025-04-28,ADANIENT,2346.0,2402.0,2337.6,2369.8,681421,2369.8
2025-04-29,ADANIENT,2392.0,2400.0,2325.6,2330.6,670730,2330.6
2025-04-30,ADANIENT,2331.4,2340.0,2285.0,2301.3,837464,2301.3
2025-05-02,ADANIENT,2349.9,2372.4,2289.4,2294.2,1958739,2294.2
2025-05-05,ADANIENT,2312.6,2497.0,2297.8,2455.5,4227194,2455.5
2025-05-06,ADANIENT,2454.0,2463.2,2343.5,2354.0,1524692,2354.0
2025-05-07,ADANIENT,2315.0,2379.5,2315.0,2353.1,1012640,2353.1
2025-05-08,ADANIENT,2362.0,2367.8,2260.0,2285.3,1380069,2285.3
2025-05-09,ADANIENT,2240.0,2273.1,2233.0,2251.0,1006000,2251.0
2025-05-12,ADANIENT,2350.0,2433.3,2315.0,2425.3,2147039,2425.3
2025-05-13,ADANIENT,2425.0,2454.9,2405.0,2441.2,1815179,2441.2
2025-05-14,ADANIENT,2444.9,2481.9,2430.1,2461.9,774441,2461.9
2025-05-15,ADANIENT,2463.4,2526.8,2450.7,2520.0,1554801,2520.0
2025-05-16,ADANIENT,2529.0,2584.2,2516.2,2555.0,1641135,2555.0
2025-05-19,ADANIENT,2571.3,2578.8,2536.0,2540.6,681000,2540.6
2025-05-20,ADANIENT,2545.0,2564.8,2492.5,2501.6,628023,2501.6
2025-05-21,ADANIENT,2509.7,2524.5,2483.7,2500.4,529234,2500.4
2025-05-22,ADANIENT,2500.4,2521.9,2465.3,2487.6,906909,2487.6
2025-05-23,ADANIENT,2499.0,2548.1,2490.5,2540.0,968415,2540.0
2025-05-26,ADANIENT,2549.1,2568.9,2541.3,2547.7,552912,2547.7
2025-05-27,ADANIENT,2545.9,2569.1,2526.1,2540.3,514936,2540.3
2025-05-28,ADANIENT,2559.0,2559.0,2510.0,2515.0,575989,2515.0
2025-05-29,ADANIENT,2536.7,2559.0,2511.0,2540.8,802317,2540.8
2025-05-30,ADANIENT,2550.0,2564.0,2513.8,2519.9,684592,2519.9
2025-06-02,ADANIENT,2527.0,2564.0,2514.9,2518.8,1008716,2518.8
2025-06-03,ADANIENT,2511.0,2512.5,2452.0,2470.9,962708,2470.9
2025-06-04,ADANIENT,2480.0,2503.0,2441.1,2489.4,552667,2489.4
2025-06-05,ADANIENT,2495.0,2530.1,2487.5,2504.4,673209,2504.4
2025-06-06,ADANIENT,2514.9,2553.3,2504.0,2534.2,640680,2534.2
2025-06-09,ADANIENT,2545.0,2604.1,2524.5,2582.1,1711167,2582.1
